,0
"('geh', 'davon')",1
"('davon', 'antwort')",1
"('bundesrat', 'einverstand')",1
"('antrag', 'einverstand')",1
"('angenomm', 'adopté')",1
"('interpellantin', 'antwort')",1
"('geschaft', 'erledigt')",1
"('zieh', 'motion')",1
"('motion', 'zuruck')",1
"('nichteintretensantrag', 'mehrheit')",1
"('mehrheit', 'ab')",1
"('frau', 'maury')",1
"('maury', 'pasqui')",1
"('pasqui', 'beantragt')",1
"('herr', 'brandli')",1
"('brandli', 'beantragt')",1
"('bundesrat', 'unterstutzt')",1
"('unterstutzt', 'beschluss')",1
"('beschluss', 'standerat')",1
"('frau', 'savary')",1
"('savary', 'beantragt')",1
"('ablehn', 'beid')",1
"('frau', 'fetz')",1
"('fetz', 'beantragt')",1
"('zuruckgezog', 'retiré')",1
"('botschaft', 'beantragt')",1
"('beantragt', 'bundesrat')",1
"('bundesrat', 'bundesratsgeschaft')",1
"('bundesratsgeschaft', 'abzuschreib')",1
"('erklar', 'sitzung')",1
"('bundesversamml', 'eroffnet')",1
"('eroffnet', 'mitglied')",1
"('word', 'tagesordn')",1
"('tagesordn', 'erhalt')",1
"('erhalt', 'absolut')",1
"('nehm', 'laufend')",1
"('laufend', 'verfahr')",1
"('verfahr', 'moment')",1
"('moment', 'stellung')",1
"('fdpfraktion', 'stimmt')",1
"('motion', 'uberweis')",1
"('fdpfraktion', 'stimm')",1
"('herr', 'inderkum')",1
"('inderkum', 'beantragt')",1
"('erklar', 'urheberinurheb')",1
"('urheberinurheb', 'teilweis')",1
"('befriedigt', 'déclaration')",1
"('déclaration', 'auteurauteur')",1
"('auteurauteur', 'partiellement')",1
"('partiellement', 'satisfait')",1
