,Phrase,qui
56,"('stiftung', 'pro')",1.6708692805773535e-05
57,"('uberleb', 'ehegatt')",1.6517829729033135e-05
58,"('dah', 'bitt')",1.6505974313470793e-05
59,"('herr', 'triponez')",1.6262228992959893e-05
60,"('bitt', 'antrag')",1.6213259823183766e-05
61,"('gut', 'dien')",1.6187061187924247e-05
62,"('kanton', 'baselstadt')",1.565951772118606e-05
63,"('herrn', 'bloch')",1.558524080647836e-05
64,"('flughaf', 'zurich')",1.5555496735363233e-05
65,"('schweizer', 'neutralitat')",1.5469909372231072e-05
66,"('nachtrag', 'i')",1.537406085334963e-05
67,"('frau', 'kollegin')",1.533943326136163e-05
68,"('initiativ', 'ablehn')",1.52734134665955e-05
69,"('zweit', 'etapp')",1.5058353799585627e-05
70,"('ja', 'europa')",1.5008311232075244e-05
71,"('wirtschaft', 'leistungsfah')",1.4929037504467831e-05
72,"('klar', 'meinung')",1.4877158570696795e-05
73,"('eidgenoss', 'finanzkontroll')",1.4778491208501795e-05
74,"('finanziell', 'mittel')",1.447062042732097e-05
75,"('kolleg', 'schmid')",1.4423135720625836e-05
76,"('uns', 'kommission')",1.435486873040445e-05
77,"('best', 'dank')",1.4313479649007488e-05
78,"('frau', 'heberlein')",1.4262724404357073e-05
79,"('vorlag', 'einzutret')",1.4004451164082556e-05
80,"('scheint', 'wichtig')",1.3823310092327155e-05
81,"('mind', 'i')",1.3819937748012247e-05
82,"('gemacht', 'word')",1.3730058978434696e-05
83,"('diskussion', 'stehend')",1.356732911973768e-05
84,"('herr', 'hammerl')",1.356732911973768e-05
85,"('organisation', 'arbeitswelt')",1.3561238265284396e-05
86,"('herr', 'bor')",1.348565903883016e-05
87,"('herr', 'bortoluzzi')",1.348565903883016e-05
88,"('bewaffnet', 'neutralitat')",1.337772345675806e-05
89,"('administrativ', 'entlast')",1.3290864548407125e-05
90,"('svpfraktion', 'meinung')",1.3290864548407125e-05
91,"('eidgenoss', 'rat')",1.3095037211509531e-05
92,"('teil', 'auffass')",1.3083827373842418e-05
93,"('herr', 'stahl')",1.3069086134960394e-05
94,"('davon', 'uberzeugt')",1.306142911078999e-05
95,"('aufgab', 'bund')",1.2852182989676473e-05
96,"('sicherheitspolit', 'bericht')",1.2714730511271958e-05
97,"('rentnerinn', 'rentn')",1.270577225932831e-05
98,"('herr', 'zuppig')",1.2671748802769268e-05
99,"('erinn', 'daran')",1.2651990250900908e-05
100,"('bitt', 'vorlag')",1.261283851863434e-05
101,"('uns', 'arme')",1.2592342810318375e-05
102,"('imm', 'gesagt')",1.2583921502388733e-05
103,"('bilateral', 'abkomm')",1.2411434026547176e-05
104,"('rund', 'milliard')",1.240549386428652e-05
105,"('hoh', 'steu')",1.237940979652726e-05
106,"('benotigt', 'goldreserv')",1.2333944511847008e-05
107,"('defizitgaranti', 'million')",1.2333944511847008e-05
108,"('unterstutzt', 'svpfraktion')",1.2333944511847008e-05
109,"('zwingend', 'notwend')",1.2333944511847008e-05
110,"('kost', 'million')",1.2272144089577325e-05
111,"('total', 'million')",1.2272144089577325e-05
112,"('burg', 'seit')",1.2260742874839173e-05
113,"('stell', 'antrag')",1.2097584596033585e-05
114,"('auslanderinn', 'ausland')",1.208140076853531e-05
115,"('eben', 'gerad')",1.208140076853531e-05
116,"('herr', 'weyeneth')",1.203821734167442e-05
117,"('bundesrat', 'standerat')",1.201761466090219e-05
118,"('flankier', 'massnahm')",1.1883517316860252e-05
119,"('herr', 'gutzwill')",1.1805984154514293e-05
120,"('volksinitiativ', 'ablehn')",1.1631167204496174e-05
121,"('artikel', 'or')",1.1582978581258024e-05
122,"('rund', 'tisch')",1.1527163991343076e-05
123,"('herr', 'buhr')",1.1460858300401418e-05
124,"('einverstand', 'erklar')",1.137839690465349e-05
125,"('klein', 'einkomm')",1.1334705749033306e-05
126,"('uns', 'fraktion')",1.1301294929641795e-05
127,"('bzw', 'prozent')",1.1292148511747238e-05
128,"('neu', 'sicherheitspolit')",1.1292148511747238e-05
129,"('bund', 'milliard')",1.1258005256657458e-05
130,"('auftrag', 'geb')",1.1186363293760027e-05
131,"('spfraktion', 'mocht')",1.1186363293760027e-05
132,"('initiativ', 'strahm')",1.117717194473428e-05
133,"('gemass', 'artikel')",1.1144071995742276e-05
134,"('allgemein', 'volksinitiativ')",1.1041053451765095e-05
135,"('daran', 'erinn')",1.1036392665779995e-05
136,"('strateg', 'nachrichtendien')",1.1006965875180768e-05
137,"('bundesrat', 'deiss')",1.0985587634997903e-05
138,"('aktiv', 'sterbehilf')",1.094797829047812e-05
139,"('europa', 'union')",1.0916707942036374e-05
140,"('pfist', 'theophil')",1.0905340359412673e-05
141,"('deshalb', 'meinung')",1.0898221729308599e-05
142,"('kredit', 'million')",1.0820770635708926e-05
143,"('vier', 'jahr')",1.0755646904445454e-05
144,"('herr', 'fisch')",1.069447755986462e-05
145,"('differenz', 'nationalrat')",1.0678763918382988e-05
146,"('steuerzahlerinn', 'steuerzahl')",1.0564028957889168e-05
147,"('vorh', 'gesagt')",1.0564028957889168e-05
148,"('wer', 'heut')",1.0559943794015608e-05
149,"('administrativ', 'aufwand')",1.0479241103191198e-05
150,"('gegenub', 'vorjahr')",1.0479241103191198e-05
151,"('person', 'meinung')",1.0479241103191198e-05
152,"('verzicht', 'darauf')",1.0479241103191198e-05
153,"('meinung', 'antrag')",1.041426673046987e-05
154,"('neugestalt', 'finanzausgleich')",1.041426673046987e-05
155,"('autonomi', 'kanton')",1.0252792659500636e-05
156,"('i', 'voranschlag')",1.0252792659500636e-05
157,"('kolleg', 'schiess')",1.0252792659500636e-05
158,"('schweiz', 'delegation')",1.0252792659500636e-05
159,"('st', 'moritz')",1.0252792659500636e-05
160,"('vertrag', 'eu')",1.0252792659500636e-05
161,"('herr', 'chiffell')",1.0249306779822806e-05
162,"('uns', 'rechtsordn')",1.0249306779822806e-05
163,"('zwei', 'ding')",1.0160200232549492e-05
164,"('verdeckt', 'ermittl')",1.0116880083716549e-05
165,"('bundesgesetz', 'forder')",1.008800006473776e-05
166,"('verstandnis', 'dafur')",1.0068428073755748e-05
167,"('geltend', 'gemacht')",1.0063332483534684e-05
168,"('drei', 'woch')",1.0028032239797023e-05
169,"('herr', 'theil')",1.0010978931588651e-05
170,"('herr', 'hegetschweil')",9.952593899815317e-06
171,"('herr', 'kaufmann')",9.952593899815317e-06
172,"('desweg', 'bitt')",9.934245772827517e-06
173,"('bitt', 'dah')",9.776888070131917e-06
174,"('behindert', 'kind')",9.742200385370627e-06
175,"('motion', 'beerli')",9.736385893128661e-06
176,"('falsch', 'richtung')",9.638529771424147e-06
177,"('betrag', 'million')",9.561369897565925e-06
178,"('bundesrat', 'leuenberg')",9.450191045627004e-06
179,"('dageg', 'einzuw')",9.444210720343977e-06
180,"('polit', 'fuhrung')",9.444210720343977e-06
181,"('sprech', 'svpfraktion')",9.444210720343977e-06
182,"('umfang', 'million')",9.444210720343977e-06
183,"('wenig', 'geld')",9.376226156039142e-06
184,"('kulturell', 'erb')",9.343089408515254e-06
185,"('arzt', 'arztin')",9.309382984061143e-06
186,"('darauf', 'verweis')",9.309382984061143e-06
187,"('enthalt', 'abgelehnt')",9.309382984061143e-06
188,"('wirklich', 'bitt')",9.309382984061143e-06
189,"('herrn', 'kolleg')",9.299514369607453e-06
190,"('frau', 'fassl')",9.258133048296118e-06
191,"('herr', 'pfist')",9.255597239441298e-06
192,"('dublin', 'abkomm')",9.247136383963196e-06
193,"('frank', 'ab')",9.247136383963196e-06
194,"('frank', 'davon')",9.247136383963196e-06
195,"('frei', 'verfugbar')",9.247136383963196e-06
196,"('ganz', 'lini')",9.247136383963196e-06
197,"('landlich', 'region')",9.247136383963196e-06
198,"('prozent', 'liegt')",9.247136383963196e-06
199,"('stuf', 'bund')",9.247136383963196e-06
200,"('abgewies', 'asylbewerb')",9.21648655916446e-06
201,"('artikel', 'energiegesetz')",9.21648655916446e-06
202,"('baut', 'logist')",9.21648655916446e-06
203,"('bundesamt', 'baut')",9.21648655916446e-06
204,"('ebenfall', 'bitt')",9.21648655916446e-06
205,"('kolleg', 'david')",9.21648655916446e-06
206,"('nationalrat', 'anzuschliess')",9.21648655916446e-06
207,"('rahm', 'berat')",9.21648655916446e-06
208,"('revision', 'betaubungsmittelgesetz')",9.21648655916446e-06
209,"('ruag', 'suiss')",9.21648655916446e-06
210,"('sach', 'staat')",9.21648655916446e-06
211,"('turn', 'sport')",9.21648655916446e-06
212,"('uns', 'jugend')",9.21648655916446e-06
213,"('zustimm', 'geb')",9.21648655916446e-06
214,"('bund', 'kanton')",9.13416438125369e-06
215,"('wohl', 'kaum')",9.031553693320963e-06
216,"('mocht', 'daran')",9.020507213618255e-06
217,"('prozent', 'bevolker')",8.91278952295455e-06
218,"('weis', 'darauf')",8.908623794460175e-06
219,"('darub', 'diskutiert')",8.867296298596673e-06
220,"('erklar', 'abgeb')",8.805536658113865e-06
221,"('nam', 'einstimm')",8.805536658113865e-06
222,"('deshalb', 'nam')",8.795494147360634e-06
223,"('frag', 'herrn')",8.71935902291667e-06
224,"('bundesamt', 'justiz')",8.690383582650941e-06
225,"('nochmal', 'sag')",8.6854944602192e-06
226,"('sich', 'gesund')",8.6854944602192e-06
227,"('weiterbild', 'schweiz')",8.6854944602192e-06
228,"('herr', 'aeschbach')",8.497168406990381e-06
229,"('herr', 'rechstein')",8.497168406990381e-06
230,"('stark', 'mind')",8.47725588960375e-06
231,"('bundesrat', 'villig')",8.419523910832115e-06
232,"('herr', 'bundesrat')",8.348993386229895e-06
233,"('bundesrat', 'nationalrat')",8.32931706887641e-06
234,"('vertreterinn', 'vertret')",8.32525228435346e-06
235,"('herr', 'fasel')",8.28789679982552e-06
236,"('ablehn', 'staatsvertrag')",8.252892572509615e-06
237,"('neu', 'kredit')",8.252892572509615e-06
238,"('revision', 'bundesgesetz')",8.252892572509615e-06
239,"('vorlieg', 'gesetzentwurf')",8.252892572509615e-06
240,"('dringend', 'notwend')",8.191268194952307e-06
241,"('bisher', 'system')",8.184061489000166e-06
242,"('bundesrat', 'beantwort')",8.184061489000166e-06
243,"('entschied', 'auffass')",8.184061489000166e-06
244,"('eracht', 'recht')",8.184061489000166e-06
245,"('fehr', 'mario')",8.184061489000166e-06
246,"('gegenvorschlag', 'abzulehn')",8.184061489000166e-06
247,"('genf', 'zentrum')",8.184061489000166e-06
248,"('herr', 'banga')",8.184061489000166e-06
249,"('kanton', 'neuenburg')",8.184061489000166e-06
250,"('merz', 'gesagt')",8.184061489000166e-06
251,"('neu', 'abgab')",8.184061489000166e-06
252,"('stellt', 'heut')",8.184061489000166e-06
253,"('svpfraktion', 'ganz')",8.184061489000166e-06
254,"('svpfraktion', 'stellt')",8.184061489000166e-06
255,"('zusatz', 'steu')",8.184061489000166e-06
256,"('mehrheit', 'bevolker')",8.130974714441907e-06
257,"('vorgezog', 'massnahm')",8.130974714441907e-06
258,"('erst', 'etapp')",8.062751947335043e-06
259,"('klein', 'wenig')",8.062751947335043e-06
260,"('mocht', 'schluss')",8.062751947335043e-06
261,"('gehabt', 'hatt')",8.025386249893006e-06
262,"('herr', 'wasserfall')",8.025386249893006e-06
263,"('einfuhr', 'neu')",7.984901495366026e-06
264,"('polit', 'recht')",7.984901495366026e-06
265,"('autofrei', 'tag')",7.888036275221365e-06
266,"('mind', 'svpfraktion')",7.888036275221365e-06
267,"('polit', 'uno')",7.888036275221365e-06
268,"('weit', 'mal')",7.888036275221365e-06
269,"('anspruch', 'nehm')",7.866444373403574e-06
270,"('famili', 'kind')",7.866444373403574e-06
271,"('ganz', 'klar')",7.845365442648062e-06
272,"('kraft', 'tret')",7.822905182788343e-06
273,"('frau', 'kind')",7.804053470361802e-06
274,"('herr', 'giezendann')",7.804053470361802e-06
275,"('nam', 'spfraktion')",0.00017025827448299667
276,"('nam', 'svpfraktion')",0.00015254273809864758
277,"('milliard', 'frank')",7.231671118983218e-05
278,"('muss', 'seh')",5.7598663324907446e-05
279,"('bundesrat', 'merz')",5.392299854255619e-05
280,"('konsumentinn', 'konsument')",4.929180562594032e-05
281,"('ganz', 'wichtig')",4.799199072240686e-05
282,"('artikel', 'absatz')",4.598966244645706e-05
283,"('darum', 'bitt')",4.162356129491376e-05
284,"('daran', 'erinn')",4.037452511673223e-05
285,"('patientinn', 'patient')",3.972816837798299e-05
286,"('bundesrat', 'bloch')",3.863876476818806e-05
287,"('bitt', 'mehrheit')",3.774085764158111e-05
288,"('frau', 'kollegin')",3.744005769845138e-05
289,"('de', 'la')",3.718161146491783e-05
290,"('sbb', 'cargo')",3.513169846338896e-05
291,"('herr', 'kaufmann')",3.2532669379006074e-05
292,"('svpfraktion', 'bitt')",3.2241862370094624e-05
293,"('herr', 'bundesrat')",3.087820091286721e-05
294,"('rentnerinn', 'rentn')",3.0595684700090504e-05
295,"('z', 'b')",2.7246926080831798e-05
296,"('herr', 'kolleg')",2.627114798297362e-05
297,"('bitt', 'deshalb')",2.608251118743042e-05
298,"('herr', 'zuppig')",2.5067513490404073e-05
299,"('anlegerinn', 'anleg')",2.484078897714073e-05
300,"('herr', 'weyeneth')",2.3009443684043013e-05
301,"('spfraktion', 'antrag')",2.2297576775770347e-05
302,"('kolleg', 'leuenberg')",2.2275928492827677e-05
303,"('mieterinn', 'miet')",2.1916436429934985e-05
304,"('darauf', 'hinweis')",2.1498881028740665e-05
305,"('vorlag', 'einzutret')",2.1482220877101872e-05
306,"('richterinn', 'richt')",2.102091184146453e-05
307,"('mehrheit', 'zuzustimm')",2.0679302550044672e-05
308,"('herr', 'schluer')",2.067693255332337e-05
309,"('herr', 'bloch')",2.040889282957445e-05
310,"('svpfraktion', 'antrag')",2.0165716180804396e-05
311,"('link', 'seit')",1.9812650963167535e-05
312,"('arme', 'xxi')",1.942745907387483e-05
313,"('herr', 'bind')",1.9180192260189624e-05
314,"('migrantinn', 'migrant')",1.9180192260189624e-05
315,"('fassung', 'bundesrat')",1.914398949932563e-05
316,"('herr', 'visch')",1.892311373883228e-05
317,"('kind', 'jugend')",1.8718903622242166e-05
318,"('mocht', 'darauf')",1.7927599289490177e-05
319,"('frau', 'bundesratin')",1.7901844321544832e-05
320,"('herr', 'fohn')",1.7841673968806234e-05
321,"('herr', 'hammerl')",1.7825124503001787e-05
322,"('mehrheit', 'svpfraktion')",1.7592213013216204e-05
323,"('svpfraktion', 'mehrheit')",1.7592213013216204e-05
324,"('bissch', 'mehr')",1.6796364783887467e-05
325,"('offent', 'entwicklungshilf')",1.6722939594282323e-05
326,"('grund', 'weshalb')",1.6648060849994718e-05
327,"('gemass', 'artikel')",1.661722771112096e-05
328,"('mocht', 'wirklich')",1.6451685506048527e-05
329,"('kollegin', 'fetz')",1.6422409108125272e-05
330,"('kolleg', 'pfist')",1.640545951585904e-05
331,"('rund', 'milliard')",1.6315339375236242e-05
332,"('beschuldigt', 'person')",1.595167588985261e-05
333,"('motion', 'leuthard')",1.5928064807680043e-05
334,"('neu', 'rechnungsmodell')",1.58408283055812e-05
335,"('mocht', 'daran')",1.581233107318302e-05
336,"('obligator', 'referendum')",1.579965425373436e-05
337,"('darub', 'diskutiert')",1.5609157181578706e-05
338,"('herr', 'vollm')",1.5517658700355163e-05
339,"('herr', 'loepf')",1.5287418460085628e-05
340,"('ganz', 'klar')",1.51983306638743e-05
341,"('geht', 'wirklich')",1.4718255019470887e-05
342,"('haus', 'geh')",1.4668922678617276e-05
343,"('interess', 'daran')",1.4564587016791297e-05
344,"('frau', 'hubmann')",1.4490871087471869e-05
345,"('herr', 'stein')",1.4412374286157391e-05
346,"('servic', 'public')",1.4233746089528258e-05
347,"('betreff', 'person')",1.4212797706227447e-05
348,"('nationalrat', 'anzuschliess')",1.4212797706227447e-05
349,"('mittl', 'einkomm')",1.4205943512300836e-05
350,"('sozialdemokrat', 'fraktion')",1.4205943512300836e-05
351,"('herr', 'schiess')",1.4087172337983195e-05
352,"('elektron', 'medi')",1.40239527571216e-05
353,"('abgekurzt', 'verfahr')",1.401771462985895e-05
354,"('sag', 'nochmal')",1.401771462985895e-05
355,"('natur', 'frag')",1.3940577143259144e-05
356,"('wirtschaft', 'leistungsfah')",1.3819867683451664e-05
357,"('gar', 'moglich')",1.3651139317822553e-05
358,"('burg', 'mehrheit')",1.3539116501964775e-05
359,"('herr', 'triponez')",1.3381144621961285e-05
360,"('schweizerinn', 'schweiz')",1.3286334161495708e-05
361,"('steu', 'abgab')",1.3059583323040434e-05
362,"('radio', 'fernseh')",1.300023860592241e-05
363,"('fassung', 'kommission')",1.2955104900489281e-05
364,"('vorlauf', 'aufgenomm')",1.2951406369370347e-05
365,"('herr', 'buhr')",1.282191480129959e-05
366,"('pro', 'helvetia')",1.28191924923558e-05
367,"('herr', 'baad')",1.2801257458235385e-05
368,"('wahl', 'herrn')",1.273945855525509e-05
369,"('freie', 'spitalwahl')",1.2672029081264432e-05
370,"('bitt', 'wirklich')",1.2667701829008949e-05
371,"('bundesrat', 'couchepin')",1.2621907231633244e-05
372,"('minderheitsantrag', 'abzulehn')",1.2534495991281047e-05
373,"('zwei', 'monat')",1.251781309258075e-05
374,"('schweiz', 'tourismus')",1.2485096012357886e-05
375,"('artikel', 'strafgesetzbuch')",1.2479446620619079e-05
376,"('seit', 'fahn')",1.2450750161320387e-05
377,"('strateg', 'ziel')",1.2388318271476296e-05
378,"('kundinn', 'kund')",1.2381542508146173e-05
379,"('mocht', 'ganz')",1.2260664144982444e-05
380,"('wenig', 'geld')",1.2260664144982444e-05
381,"('rund', 'million')",1.2245167585371006e-05
382,"('bitt', 'vorlag')",1.2238453734198273e-05
383,"('echt', 'fluchtling')",1.2162765737754553e-05
384,"('polit', 'akt')",1.2162765737754553e-05
385,"('bitt', 'fassung')",1.2158687039248434e-05
386,"('kurz', 'gut')",1.1986024494188855e-05
387,"('region', 'basel')",1.1986024494188855e-05
388,"('natur', 'imm')",1.1974547175836312e-05
389,"('eig', 'land')",1.195404322864252e-05
390,"('war', 'natur')",1.1751045787408195e-05
391,"('frau', 'vermot')",1.159868560469209e-05
392,"('gemeinsam', 'sorgerecht')",1.1574665557711787e-05
393,"('vertreterinn', 'vertret')",1.1502936066405873e-05
394,"('referendum', 'unterstellt')",1.1335677590464615e-05
395,"('armst', 'land')",1.1300573433243594e-05
396,"('schweizer', 'aussenpolit')",1.1300573433243594e-05
397,"('svpfraktion', 'vorlag')",1.1168429633076649e-05
398,"('referendum', 'unterstell')",1.1036150505681396e-05
399,"('warum', 'bundesrat')",1.1017967091087284e-05
400,"('diskussion', 'kommission')",1.0991074350789907e-05
401,"('acht', 'jahr')",1.0956820446110892e-05
402,"('arbeitnehmerinn', 'arbeitnehm')",1.0905922273475587e-05
403,"('artikel', 'artikel')",1.0766072805980478e-05
404,"('neu', 'artikel')",1.0766072805980478e-05
405,"('darum', 'muss')",1.0762983610579843e-05
406,"('geni', 'minenraumpanz')",1.0762983610579843e-05
407,"('ersuch', 'deshalb')",1.0673959044701475e-05
408,"('drei', 'monat')",1.065749246054704e-05
409,"('energi', 'schweiz')",1.0615763158128584e-05
410,"('expressis', 'verbis')",1.058623471777408e-05
411,"('svpfraktion', 'eintret')",1.058623471777408e-05
412,"('natur', 'schon')",1.0493404150854904e-05
413,"('kanton', 'zustand')",1.0475320194404467e-05
414,"('bereit', 'beschloss')",1.0396640280717877e-05
415,"('beid', 'kamm')",1.0364994205080238e-05
416,"('herr', 'morgeli')",1.0362655789538133e-05
417,"('sozial', 'krankenversicher')",1.0362655789538133e-05
418,"('mensch', 'land')",1.0270056480474623e-05
419,"('de', 'facto')",1.0234644954358446e-05
420,"('herr', 'gross')",1.0132194001704264e-05
421,"('buchstab', 'a')",1.010372228750699e-05
422,"('beantragt', 'kommission')",1.0063241016830349e-05
423,"('gibt', 'natur')",1.0063241016830349e-05
424,"('aktiv', 'sterbehilf')",1.0004521111583507e-05
425,"('bundesstrafgericht', 'bellinzona')",1.0004521111583507e-05
426,"('kaspar', 'villig')",1.0004521111583507e-05
427,"('auffass', 'bundesrat')",9.98540097390571e-06
428,"('geb', 'recht')",9.959750645818857e-06
429,"('herr', 'wasserfall')",9.931700319588562e-06
430,"('word', 'buro')",9.931700319588562e-06
431,"('bundesrat', 'fassung')",9.918901681974697e-06
432,"('eben', 'gerad')",9.875621131404043e-06
433,"('arztinn', 'arzt')",9.693232239282467e-06
434,"('herr', 'walt')",9.693232239282467e-06
435,"('klein', 'einkomm')",9.693232239282467e-06
436,"('sozial', 'okolog')",9.693232239282467e-06
437,"('herr', 'david')",9.662891062402009e-06
438,"('unterstutz', 'mocht')",9.660444797977297e-06
439,"('erinner', 'ruf')",9.652522416297643e-06
440,"('deshalb', 'nam')",9.632523970589893e-06
441,"('nationalrat', 'anschliess')",9.62123496004576e-06
442,"('natur', 'gross')",9.62123496004576e-06
443,"('herr', 'baumann')",9.585743403995134e-06
444,"('herr', 'maur')",9.585743403995134e-06
445,"('joseph', 'deiss')",9.581412945519403e-06
446,"('gut', 'risik')",9.554026517846711e-06
447,"('relativ', 'gross')",9.518198062127974e-06
448,"('einverstand', 'erklar')",9.459651523089875e-06
449,"('natur', 'wesent')",9.423360898604835e-06
450,"('bundesamt', 'landwirtschaft')",9.359531285841684e-06
451,"('imm', 'gleich')",9.289372970152687e-06
452,"('herrn', 'fohn')",9.24851666266154e-06
453,"('steuerbefrei', 'existenzminimum')",9.24851666266154e-06
454,"('niemand', 'mehr')",9.20616123964852e-06
455,"('abgewies', 'asylbewerb')",9.182935533698693e-06
456,"('stellt', 'natur')",9.182935533698693e-06
457,"('sinn', 'mocht')",9.175143461311643e-06
458,"('darum', 'bundesrat')",9.151091904237993e-06
459,"('regierungsrat', 'kanton')",9.055954088158307e-06
460,"('redaktionell', 'ander')",9.0524965558211e-06
461,"('schwierig', 'fall')",9.0524965558211e-06
462,"('inn', 'sich')",9.027702336496e-06
463,"('herr', 'rutschmann')",9.026020149485699e-06
464,"('offent', 'unternehm')",9.026020149485699e-06
465,"('bundesrat', 'meinung')",8.970222789430922e-06
466,"('erst', 'prioritat')",8.962886193047574e-06
467,"('standort', 'schweiz')",8.962506663589728e-06
468,"('herr', 'bortoluzzi')",8.931512103516247e-06
469,"('mehrheit', 'spfraktion')",8.931512103516247e-06
470,"('schweiz', 'ganz')",8.913482465892611e-06
471,"('etcs', 'level')",8.84284133853825e-06
472,"('sozial', 'wohlfahrt')",8.84284133853825e-06
473,"('unterstutzt', 'svpfraktion')",8.84284133853825e-06
474,"('bundesamt', 'justiz')",8.787665070084094e-06
475,"('beschloss', 'word')",8.749991530365483e-06
476,"('auslanderinn', 'ausland')",8.579954311223503e-06
477,"('beid', 'mind')",8.566376868645453e-06
478,"('bergvariant', 'lang')",8.566376868645453e-06
479,"('off', 'gesteh')",8.566376868645453e-06
480,"('spfraktion', 'lehnt')",8.566376868645453e-06
481,"('verlass', 'partn')",8.566376868645453e-06
482,"('teil', 'strafgesetzbuch')",8.498029614064975e-06
483,"('wesent', 'hoh')",8.498029614064975e-06
484,"('erst', 'tag')",8.485666881415315e-06
485,"('kost', 'senk')",8.485440862396817e-06
486,"('ressourcenstark', 'kanton')",8.470535246430247e-06
487,"('herr', 'giezendann')",8.457079843723927e-06
488,"('jugend', 'ausbild')",8.361368558952609e-06
489,"('mocht', 'gleich')",8.361368558952609e-06
490,"('ganz', 'gegenteil')",8.354658975752655e-06
491,"('neu', 'gesetz')",8.318036394598643e-06
492,"('polit', 'werbung')",8.292008164194458e-06
493,"('erwag', 'zieh')",8.285396558185704e-06
494,"('herrn', 'kaufmann')",8.285396558185704e-06
495,"('veroffentlicht', 'word')",8.285396558185704e-06
496,"('eidgenoss', 'untersuchungsrichteramt')",8.26306908212874e-06
497,"('freien', 'personenverkehr')",8.26306908212874e-06
498,"('gewerb', 'kleinbetrieb')",8.26306908212874e-06
499,"('pro', 'fall')",8.26306908212874e-06
500,"('strukturiert', 'produkt')",8.26306908212874e-06
501,"('unterschied', 'auffass')",8.26306908212874e-06
502,"('zweit', 'instanz')",8.26306908212874e-06
503,"('ausserordent', 'schwierig')",8.253136520901492e-06
504,"('herr', 'wicki')",8.253136520901492e-06
505,"('million', 'frank')",8.188919403813214e-06
506,"('bundesamt', 'migration')",8.187631480917991e-06
507,"('besteuer', 'wirtschaft')",8.173682338708565e-06
508,"('herr', 'gutzwill')",8.173682338708565e-06
509,"('parlamentar', 'versamml')",8.173682338708565e-06
510,"('leib', 'leb')",8.105719043550451e-06
511,"('relativ', 'viel')",8.105719043550451e-06
512,"('herr', 'leuenberg')",8.073780417593507e-06
513,"('frau', 'mann')",8.03772655643492e-06
514,"('administrativ', 'aufwand')",8.017373628940906e-06
515,"('bundesrat', 'beschloss')",8.016268887496232e-06
516,"('muss', 'entscheid')",7.982929705859505e-06
